R,F,M,F+M,RFM,Segmento,Caracteristicas
4,0,0,0,400,Promesas,"Compradores recientes, pero no han pasado mucho"
0,3,2,"2,5",032,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
3,2,0,1,320,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
0,4,0,2,040,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
2,0,2,1,202,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
0,3,0,"1,5",030,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
0,1,0,"0,5",010,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
0,4,4,4,044,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,2,3,"2,5",523,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
0,4,2,3,042,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
1,5,3,4,153,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,5,5,5,055,No los podemos perder,"Hicieron grandes compras y, a menudo, pero hace mucho tiempo."
1,1,0,"0,5",110,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
2,0,0,0,200,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
0,2,5,"3,5",025,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
2,2,1,"1,5",221,Hibernando,"gastadores bajas, de baja frecuencia, adquiridos hace mucho tiempo"
0,3,4,"3,5",034,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
4,3,3,3,433,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
3,1,3,2,313,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
4,0,4,2,404,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
3,2,4,3,324,Necesitan atencion,"Por encima de la recencia, frecuencia y valores monetarios."
5,2,5,"3,5",525,Clientes Leales,Gastar buen dinero Responsivo a las promociones
4,2,5,"3,5",425,Clientes Leales,Gastar buen dinero Responsivo a las promociones
3,5,4,"4,5",354,Clientes Leales,Gastar buen dinero Responsivo a las promociones
4,0,2,1,402,Promesas,"Compradores recientes, pero no han pasado mucho"
2,1,0,"0,5",210,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
1,2,4,3,124,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,1,4,"2,5",014,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
2,3,2,"2,5",232,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,0,5,"2,5",005,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
1,3,0,"1,5",130,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
5,3,4,"3,5",534,Clientes Leales,Gastar buen dinero Responsivo a las promociones
1,1,2,"1,5",112,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
3,2,1,"1,5",321,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
0,2,0,1,020,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
4,5,1,3,451,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
2,4,5,"4,5",245,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
3,3,3,3,333,Necesitan atencion,"Por encima de la recencia, frecuencia y valores monetarios."
1,5,4,"4,5",154,No los podemos perder,"Hicieron grandes compras y, a menudo, pero hace mucho tiempo."
1,4,0,2,140,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
4,2,2,2,422,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
5,5,4,"4,5",554,Campeones,"Comprado recientemente, comprar a menudo y gastar más."
1,5,2,"3,5",152,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
1,3,5,4,135,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,5,5,5,555,Campeones,"Comprado recientemente, comprar a menudo y gastar más."
3,1,4,"2,5",314,Necesitan atencion,"Por encima de la recencia, frecuencia y valores monetarios."
2,1,2,"1,5",212,Hibernando,"gastadores bajas, de baja frecuencia, adquiridos hace mucho tiempo"
2,2,3,"2,5",223,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,5,1,3,051,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
3,4,2,3,342,Necesitan atencion,"Por encima de la recencia, frecuencia y valores monetarios."
4,4,5,"4,5",445,Clientes Leales,Gastar buen dinero Responsivo a las promociones
3,3,2,"2,5",332,Necesitan atencion,"Por encima de la recencia, frecuencia y valores monetarios."
1,1,4,"2,5",114,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,1,2,"1,5",012,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
3,4,5,"4,5",345,Clientes Leales,Gastar buen dinero Responsivo a las promociones
5,5,2,"3,5",552,Clientes Leales,Gastar buen dinero Responsivo a las promociones
5,4,2,3,542,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
3,4,1,"2,5",341,Necesitan atencion,"Por encima de la recencia, frecuencia y valores monetarios."
5,5,1,3,551,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
1,5,1,3,151,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
3,4,3,"3,5",343,Clientes Leales,Gastar buen dinero Responsivo a las promociones
2,5,4,"4,5",254,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
4,4,1,"2,5",441,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
1,4,2,3,142,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
2,3,0,"1,5",230,Hibernando,"gastadores bajas, de baja frecuencia, adquiridos hace mucho tiempo"
3,1,5,3,315,Necesitan atencion,"Por encima de la recencia, frecuencia y valores monetarios."
2,0,4,2,204,Hibernando,"gastadores bajas, de baja frecuencia, adquiridos hace mucho tiempo"
5,2,2,2,522,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
1,4,4,4,144,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
1,0,5,"2,5",105,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,0,3,"1,5",503,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
1,2,5,"3,5",125,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,0,5,"2,5",505,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
3,2,2,2,322,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
1,3,1,2,131,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
4,4,0,2,440,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
2,3,3,3,233,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
4,4,4,4,444,Clientes Leales,Gastar buen dinero Responsivo a las promociones
0,4,3,"3,5",043,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
4,4,2,3,442,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
1,2,0,1,120,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
3,3,5,4,335,Clientes Leales,Gastar buen dinero Responsivo a las promociones
1,1,5,3,115,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,2,4,3,024,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
2,2,0,1,220,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
3,3,4,"3,5",334,Clientes Leales,Gastar buen dinero Responsivo a las promociones
2,5,1,3,251,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
1,3,3,3,133,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,1,5,3,015,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
1,2,2,2,122,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
3,4,0,2,340,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
2,1,1,1,211,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
0,4,5,"4,5",045,No los podemos perder,"Hicieron grandes compras y, a menudo, pero hace mucho tiempo."
0,0,3,"1,5",003,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
3,4,4,4,344,Clientes Leales,Gastar buen dinero Responsivo a las promociones
4,5,0,"2,5",450,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
4,1,5,3,415,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
3,0,5,"2,5",305,Necesitan atencion,"Por encima de la recencia, frecuencia y valores monetarios."
4,0,3,"1,5",403,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
2,0,3,"1,5",203,Hibernando,"gastadores bajas, de baja frecuencia, adquiridos hace mucho tiempo"
0,5,4,"4,5",054,No los podemos perder,"Hicieron grandes compras y, a menudo, pero hace mucho tiempo."
0,0,0,0,000,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
4,0,1,"0,5",401,Promesas,"Compradores recientes, pero no han pasado mucho"
5,3,3,3,533,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
4,3,1,2,431,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
3,0,3,"1,5",303,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
3,0,2,1,302,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
5,4,0,2,540,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
5,4,5,"4,5",545,Campeones,"Comprado recientemente, comprar a menudo y gastar más."
5,3,0,"1,5",530,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
3,0,4,2,304,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
2,2,5,"3,5",225,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,1,5,3,515,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
4,3,2,"2,5",432,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
1,0,4,2,104,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
2,0,5,"2,5",205,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
1,3,4,"3,5",134,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,0,1,"0,5",501,Nuevos clientes,"Comprado más recientemente, pero no a menudo"
4,3,0,"1,5",430,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
1,3,2,"2,5",132,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
4,5,4,"4,5",454,Clientes Leales,Gastar buen dinero Responsivo a las promociones
2,4,3,"3,5",243,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
4,2,0,1,420,Promesas,"Compradores recientes, pero no han pasado mucho"
2,3,4,"3,5",234,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,3,1,2,531,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
3,3,1,2,331,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
5,4,3,"3,5",543,Clientes Leales,Gastar buen dinero Responsivo a las promociones
2,5,5,5,255,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,1,2,"1,5",512,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
0,1,3,2,013,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
3,5,1,3,351,Necesitan atencion,"Por encima de la recencia, frecuencia y valores monetarios."
1,5,0,"2,5",150,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
1,2,1,"1,5",121,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
3,3,0,"1,5",330,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
3,2,3,"2,5",323,Necesitan atencion,"Por encima de la recencia, frecuencia y valores monetarios."
2,3,1,2,231,Hibernando,"gastadores bajas, de baja frecuencia, adquiridos hace mucho tiempo"
4,3,5,4,435,Clientes Leales,Gastar buen dinero Responsivo a las promociones
1,5,5,5,155,No los podemos perder,"Hicieron grandes compras y, a menudo, pero hace mucho tiempo."
0,5,3,4,053,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
3,1,2,"1,5",312,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
3,5,3,4,353,Clientes Leales,Gastar buen dinero Responsivo a las promociones
4,1,2,"1,5",412,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
5,1,0,"0,5",510,Nuevos clientes,"Comprado más recientemente, pero no a menudo"
5,3,5,4,535,Clientes Leales,Gastar buen dinero Responsivo a las promociones
5,4,4,4,544,Clientes Leales,Gastar buen dinero Responsivo a las promociones
3,0,0,0,300,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
0,0,2,1,002,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
1,4,1,"2,5",141,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
2,2,2,2,222,Hibernando,"gastadores bajas, de baja frecuencia, adquiridos hace mucho tiempo"
1,0,3,"1,5",103,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
1,4,5,"4,5",145,No los podemos perder,"Hicieron grandes compras y, a menudo, pero hace mucho tiempo."
3,2,5,"3,5",325,Clientes Leales,Gastar buen dinero Responsivo a las promociones
4,1,1,1,411,Promesas,"Compradores recientes, pero no han pasado mucho"
4,2,1,"1,5",421,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
3,1,1,1,311,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
1,4,3,"3,5",143,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,3,3,3,033,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,0,0,0,500,Nuevos clientes,"Comprado más recientemente, pero no a menudo"
2,1,3,2,213,Hibernando,"gastadores bajas, de baja frecuencia, adquiridos hace mucho tiempo"
4,1,4,"2,5",414,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
2,4,2,3,242,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
3,5,5,5,355,Clientes Leales,Gastar buen dinero Responsivo a las promociones
2,5,3,4,253,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,5,0,"2,5",050,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
4,1,3,2,413,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
4,4,3,"3,5",443,Clientes Leales,Gastar buen dinero Responsivo a las promociones
2,5,0,"2,5",250,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,1,1,1,011,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
0,3,5,4,035,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
2,4,1,"2,5",241,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
3,0,1,"0,5",301,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
1,1,3,2,113,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
3,1,0,"0,5",310,A punto de dormir,"Por debajo de la recencia media, frecuencia y valores monetarios."
0,2,3,"2,5",023,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
4,5,3,4,453,Clientes Leales,Gastar buen dinero Responsivo a las promociones
0,0,4,2,004,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,2,0,1,520,Nuevos clientes,"Comprado más recientemente, pero no a menudo"
5,2,4,3,524,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
2,0,1,"0,5",201,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
1,1,1,1,111,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
2,3,5,4,235,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,5,3,4,553,Clientes Leales,Gastar buen dinero Responsivo a las promociones
0,5,2,"3,5",052,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,2,1,"1,5",021,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
2,1,5,3,215,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,1,4,"2,5",514,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
5,4,1,"2,5",541,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
0,0,1,"0,5",001,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
2,1,4,"2,5",214,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
4,5,5,5,455,Clientes Leales,Gastar buen dinero Responsivo a las promociones
1,2,3,"2,5",123,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,1,1,1,511,Nuevos clientes,"Comprado más recientemente, pero no a menudo"
5,0,2,1,502,Nuevos clientes,"Comprado más recientemente, pero no a menudo"
4,3,4,"3,5",434,Clientes Leales,Gastar buen dinero Responsivo a las promociones
5,0,4,2,504,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
4,2,3,"2,5",423,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
1,0,1,"0,5",101,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
0,4,1,"2,5",041,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
0,3,1,2,031,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,5,0,"2,5",550,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
5,2,1,"1,5",521,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
3,5,2,"3,5",352,Clientes Leales,Gastar buen dinero Responsivo a las promociones
4,0,5,"2,5",405,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
4,2,4,3,424,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
1,0,0,0,100,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
2,2,4,3,224,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
2,4,0,2,240,Hibernando,"gastadores bajas, de baja frecuencia, adquiridos hace mucho tiempo"
5,1,3,2,513,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
2,4,4,4,244,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
2,5,2,"3,5",252,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
5,3,2,"2,5",532,Potenciales Leales,"Clientes recientes, gastó una buena cantidad, compró más de una vez."
4,1,0,"0,5",410,Promesas,"Compradores recientes, pero no han pasado mucho"
3,5,0,"2,5",350,Necesitan atencion,"Por encima de la recencia, frecuencia y valores monetarios."
1,0,2,1,102,Perdidos,"Recente más baja, Frecuencia y puntajes monetarios"
4,5,2,"3,5",452,Clientes Leales,Gastar buen dinero Responsivo a las promociones
0,2,2,2,022,En Riesgo,"Pasé gran dinero, comprado a menudo, pero hace mucho tiempo."
